iter	Passed	Remaining
0	65	65480
1	127	63727
2	190	63432
3	257	64195
4	323	64357
5	383	63583
6	450	63932
7	517	64163
8	578	63734
9	639	63332
10	699	62934
11	758	62442
12	820	62267
13	882	62148
14	939	61668
15	999	61495
16	1052	60876
17	1106	60375
18	1165	60184
19	1233	60437
20	1287	60028
21	1339	59530
22	1390	59062
23	1442	58646
24	1500	58505
25	1551	58134
26	1609	58010
27	1668	57916
28	1747	58524
29	1825	59016
30	1883	58877
31	1939	58669
32	1996	58494
33	2057	58448
34	2118	58400
35	2179	58357
36	2235	58188
37	2296	58126
38	2347	57832
39	2401	57644
40	2478	57979
41	2537	57878
42	2602	57919
43	2652	57640
44	2706	57437
45	2762	57287
46	2810	56978
47	2875	57033
48	2931	56892
49	2983	56690
50	3031	56410
51	3081	56178
52	3128	55904
53	3178	55688
54	3239	55658
55	3300	55628
56	3354	55501
57	3408	55366
58	3458	55153
59	3506	54937
60	3558	54772
61	3615	54705
62	3666	54524
63	3727	54507
64	3775	54307
65	3822	54100
66	3872	53922
67	3923	53769
68	3975	53634
69	4023	53453
70	4078	53367
71	4135	53296
72	4185	53148
73	4238	53035
74	4289	52899
75	4342	52793
76	4392	52651
77	4442	52513
78	4492	52375
79	4545	52273
80	4605	52254
81	4655	52124
82	4706	51994
83	4761	51921
84	4822	51912
85	4872	51784
86	4924	51673
87	4971	51525
88	5026	51447
89	5077	51334
90	5128	51226
91	5179	51116
92	5237	51080
93	5290	50987
94	5341	50885
95	5394	50800
96	5444	50682
97	5493	50562
98	5544	50463
99	5599	50391
100	5647	50264
101	5698	50166
102	5751	50090
103	5800	49971
104	5854	49899
105	5907	49822
106	5956	49711
107	6006	49607
108	6053	49486
109	6103	49384
110	6152	49277
111	6200	49164
112	6250	49065
113	6304	48999
114	6361	48955
115	6416	48895
116	6466	48806
117	6520	48740
118	6575	48683
119	6623	48570
120	6671	48467
121	6720	48363
122	6775	48309
123	6822	48199
124	6874	48120
125	6927	48055
126	6979	47977
127	7029	47887
128	7083	47825
129	7135	47752
130	7186	47673
131	7236	47582
132	7289	47515
133	7338	47429
134	7393	47376
135	7442	47279
136	7490	47185
137	7538	47085
138	7584	46980
139	7632	46884
140	7681	46795
141	7733	46727
142	7781	46633
143	7832	46559
144	7882	46479
145	7933	46404
146	7980	46310
147	8031	46235
148	8080	46150
149	8130	46071
150	8179	45991
151	8230	45915
152	8277	45823
153	8324	45731
154	8370	45633
155	8417	45542
156	8465	45453
157	8511	45359
158	8561	45285
159	8615	45232
160	8669	45176
161	8718	45099
162	8765	45012
163	8812	44923
164	8860	44840
165	8907	44752
166	8954	44666
167	9004	44592
168	9050	44504
169	9097	44418
170	9145	44335
171	9192	44250
172	9239	44166
173	9284	44077
174	9331	43989
175	9379	43914
176	9426	43832
177	9473	43749
178	9519	43663
179	9566	43580
180	9615	43508
181	9662	43428
182	9708	43342
183	9755	43262
184	9803	43190
185	9852	43118
186	9899	43038
187	9946	42959
188	9992	42878
189	10039	42797
190	10084	42715
191	10131	42638
192	10178	42561
193	10225	42482
194	10271	42400
195	10317	42323
196	10364	42246
197	10410	42169
198	10457	42094
199	10503	42013
200	10550	41938
201	10597	41867
202	10644	41790
203	10690	41712
204	10735	41633
205	10781	41555
206	10829	41487
207	10882	41436
208	10933	41381
209	10982	41313
210	11028	41240
211	11075	41169
212	11122	41097
213	11168	41020
214	11215	40950
215	11263	40881
216	11308	40804
217	11356	40736
218	11405	40675
219	11454	40610
220	11501	40540
221	11548	40470
222	11593	40396
223	11641	40328
224	11687	40258
225	11736	40195
226	11784	40130
227	11831	40059
228	11876	39984
229	11923	39917
230	11970	39848
231	12017	39781
232	12063	39709
233	12108	39638
234	12157	39577
235	12206	39515
236	12252	39446
237	12300	39380
238	12347	39316
239	12393	39247
240	12444	39193
241	12493	39132
242	12539	39063
243	12584	38991
244	12633	38931
245	12679	38864
246	12725	38794
247	12776	38742
248	12824	38679
249	12871	38615
250	12918	38549
251	12966	38486
252	13013	38422
253	13060	38359
254	13112	38309
255	13165	38261
256	13213	38201
257	13260	38136
258	13308	38075
259	13355	38013
260	13402	37947
261	13449	37883
262	13495	37818
263	13541	37751
264	13587	37687
265	13636	37627
266	13681	37560
267	13729	37498
268	13775	37434
269	13822	37372
270	13871	37314
271	13919	37255
272	13964	37187
273	14010	37122
274	14057	37061
275	14104	36999
276	14150	36935
277	14197	36871
278	14243	36808
279	14290	36746
280	14336	36683
281	14382	36618
282	14430	36561
283	14476	36497
284	14523	36435
285	14569	36372
286	14616	36312
287	14663	36251
288	14710	36190
289	14757	36129
290	14803	36068
291	14851	36010
292	14899	35950
293	14944	35887
294	14991	35826
295	15039	35769
296	15087	35711
297	15134	35651
298	15179	35588
299	15227	35529
300	15273	35470
301	15322	35413
302	15374	35366
303	15427	35320
304	15478	35271
305	15525	35212
306	15572	35151
307	15619	35094
308	15666	35034
309	15712	34973
310	15758	34912
311	15804	34850
312	15852	34795
313	15899	34736
314	15945	34676
315	15991	34614
316	16036	34552
317	16082	34490
318	16129	34433
319	16175	34372
320	16221	34313
321	16269	34256
322	16317	34200
323	16363	34142
324	16411	34084
325	16457	34024
326	16502	33964
327	16549	33905
328	16596	33848
329	16642	33789
330	16691	33735
331	16737	33675
332	16786	33622
333	16834	33568
334	16882	33512
335	16928	33454
336	16974	33394
337	17020	33335
338	17066	33277
339	17113	33220
340	17161	33164
341	17206	33105
342	17251	33043
343	17297	32985
344	17344	32930
345	17392	32874
346	17440	32819
347	17487	32763
348	17533	32704
349	17581	32651
350	17634	32605
351	17686	32558
352	17734	32505
353	17781	32447
354	17830	32396
355	17878	32342
356	17924	32284
357	17970	32226
358	18015	32167
359	18060	32108
360	18108	32053
361	18155	31997
362	18203	31944
363	18249	31886
364	18297	31832
365	18343	31775
366	18390	31719
367	18436	31663
368	18484	31608
369	18529	31550
370	18576	31494
371	18623	31438
372	18672	31388
373	18719	31332
374	18766	31277
375	18813	31223
376	18860	31167
377	18906	31110
378	18953	31056
379	19001	31002
380	19047	30946
381	19094	30890
382	19140	30835
383	19186	30779
384	19234	30725
385	19281	30671
386	19328	30615
387	19374	30559
388	19420	30504
389	19468	30450
390	19515	30396
391	19561	30339
392	19607	30284
393	19654	30229
394	19700	30174
395	19748	30120
396	19796	30068
397	19844	30015
398	19895	29967
399	19946	29920
400	19994	29866
401	20040	29810
402	20088	29759
403	20135	29704
404	20181	29649
405	20226	29592
406	20275	29541
407	20322	29487
408	20370	29434
409	20418	29382
410	20464	29328
411	20511	29273
412	20557	29218
413	20603	29163
414	20649	29108
415	20696	29054
416	20744	29002
417	20793	28951
418	20840	28898
419	20887	28844
420	20932	28788
421	20978	28733
422	21022	28676
423	21069	28622
424	21115	28568
425	21161	28513
426	21208	28459
427	21255	28406
428	21306	28358
429	21351	28303
430	21398	28250
431	21443	28194
432	21490	28141
433	21537	28088
434	21583	28034
435	21629	27979
436	21674	27923
437	21720	27869
438	21766	27816
439	21815	27764
440	21861	27711
441	21908	27657
442	21954	27603
443	22001	27550
444	22046	27496
445	22094	27444
446	22145	27396
447	22200	27354
448	22252	27307
449	22301	27257
450	22350	27207
451	22398	27156
452	22443	27100
453	22492	27050
454	22541	27000
455	22588	26947
456	22634	26893
457	22680	26840
458	22725	26785
459	22771	26731
460	22819	26680
461	22866	26628
462	22912	26574
463	22957	26520
464	23004	26467
465	23051	26415
466	23099	26364
467	23145	26310
468	23190	26256
